iter	F1	Logloss
0	0.7925050675	0.6777683346
1	0.7876909223	0.661960195
2	0.7909118821	0.6472554365
3	0.7856727844	0.634005107
4	0.7853564148	0.6223954053
5	0.7872028683	0.6095832182
6	0.790513834	0.5979382093
7	0.7907623149	0.5868918944
8	0.7941281776	0.5773206433
9	0.7949481466	0.568488056
10	0.7965098479	0.5594704773
11	0.7970149761	0.5521591998
12	0.7975858552	0.5440187526
13	0.7974759103	0.5365960076
14	0.7968742002	0.5304374553
15	0.8003057844	0.5242815121
16	0.79995921	0.5180014845
17	0.8017432161	0.5125722773
18	0.8033935692	0.5064483516
19	0.8046439995	0.500679352
20	0.8054418085	0.4955859065
21	0.8072421422	0.4917902563
22	0.8077195826	0.4871714634
23	0.8081413961	0.4833261271
24	0.8083902899	0.4791926746
25	0.8091762604	0.476069945
26	0.8094516303	0.4733394412
27	0.8094092309	0.4697756911
28	0.8096641131	0.4675800008
29	0.8104210438	0.4643224106
30	0.8111648529	0.4614538608
31	0.8123636608	0.4585787119
32	0.8140735526	0.4558967126
33	0.812932018	0.4539031448
34	0.8127864614	0.4514633768
35	0.8134894017	0.4489530589
36	0.8152172091	0.4461865395
37	0.8161981258	0.4440250258
38	0.8170022072	0.4418247552
39	0.8185068841	0.4398115959
40	0.8187025132	0.4380157245
41	0.8189525685	0.4361205468
42	0.8199956589	0.4343484636
43	0.8204211827	0.4326561656
44	0.8213969495	0.4310389124
45	0.8228010746	0.4289504179
46	0.8227877656	0.4272539395
47	0.8239961329	0.4258009781
48	0.8238316899	0.4243784768
49	0.8243680924	0.4231771498
50	0.8243680924	0.4213380211
51	0.8245057441	0.4199132472
52	0.8249044129	0.4181652966
53	0.8261682243	0.4168810566
54	0.8269943567	0.4158288519
55	0.8271324561	0.4143487532
56	0.8285571309	0.412669259
57	0.8290210723	0.4116050975
58	0.8299510147	0.4103746656
59	0.8303879274	0.4095945443
60	0.8317085344	0.4087053392
61	0.8312194148	0.4078576738
62	0.8317847271	0.4070716894
