iter	Passed	Remaining
0	180	90279
1	204	51038
2	237	39392
3	268	33335
4	297	29487
5	332	27363
6	370	26063
7	397	24433
8	417	22755
9	442	21686
10	462	20551
11	478	19472
12	498	18658
13	515	17883
14	551	17832
15	579	17518
16	609	17305
17	639	17133
18	671	17001
19	705	16943
20	730	16664
21	758	16470
22	786	16310
23	813	16131
24	846	16092
25	873	15933
26	894	15673
27	912	15374
28	926	15042
29	940	14735
30	956	14464
31	977	14301
32	999	14143
33	1027	14076
34	1054	14015
35	1083	13966
36	1112	13917
37	1145	13920
38	1175	13891
39	1208	13901
40	1240	13892
41	1272	13877
42	1306	13884
43	1338	13869
44	1369	13852
45	1399	13812
46	1434	13822
47	1463	13780
48	1493	13744
49	1524	13719
50	1550	13654
51	1578	13603
52	1607	13561
53	1642	13567
54	1673	13540
55	1704	13512
56	1734	13477
57	1771	13502
58	1803	13481
59	1845	13535
60	1891	13611
61	1920	13567
62	1953	13553
63	1990	13557
64	2023	13539
65	2061	13554
66	2086	13484
67	2125	13505
68	2156	13470
69	2195	13485
70	2233	13494
71	2267	13476
72	2309	13508
73	2353	13551
74	2387	13526
75	2419	13495
76	2459	13513
77	2494	13498
78	2527	13468
79	2558	13430
80	2579	13341
81	2592	13216
82	2607	13101
83	2634	13044
84	2668	13028
85	2710	13050
86	2738	12998
87	2773	12986
88	2821	13030
89	2855	13009
90	2889	12988
91	2917	12940
92	2953	12923
93	2983	12885
94	3015	12857
95	3045	12815
96	3083	12809
97	3121	12805
98	3141	12723
99	3176	12707
100	3204	12661
101	3229	12600
102	3265	12586
103	3284	12505
104	3303	12429
105	3329	12376
106	3355	12323
107	3376	12255
108	3395	12179
109	3425	12144
110	3444	12070
111	3465	12006
112	3491	11958
113	3520	11921
114	3552	11892
115	3578	11847
116	3612	11825
117	3645	11800
118	3678	11777
119	3708	11744
120	3738	11710
121	3772	11687
122	3800	11647
123	3831	11618
124	3861	11583
125	3897	11568
126	3928	11537
127	3958	11505
128	3986	11463
129	4020	11443
130	4054	11419
131	4095	11416
132	4127	11390
133	4168	11384
134	4197	11349
135	4236	11337
136	4263	11295
137	4285	11241
138	4308	11188
139	4326	11126
140	4348	11072
141	4368	11012
142	4388	10955
143	4407	10896
144	4433	10853
145	4453	10797
146	4467	10728
147	4494	10688
148	4523	10656
149	4551	10620
150	4574	10572
151	4599	10530
152	4621	10481
153	4645	10436
154	4676	10409
155	4697	10358
156	4720	10311
157	4746	10274
158	4763	10215
159	4782	10161
160	4801	10110
161	4821	10059
162	4846	10019
163	4870	9979
164	4892	9933
165	4914	9887
166	4931	9832
167	4954	9790
168	4980	9754
169	5001	9709
170	5022	9663
171	5043	9618
172	5072	9588
173	5099	9554
174	5125	9519
175	5146	9473
176	5179	9452
177	5217	9438
178	5241	9399
179	5266	9361
180	5285	9315
181	5307	9274
182	5325	9224
183	5355	9197
184	5374	9151
185	5397	9111
186	5424	9078
187	5443	9034
188	5465	8992
189	5490	8958
190	5508	8912
191	5527	8867
192	5555	8836
193	5588	8814
194	5620	8791
195	5665	8786
196	5696	8761
197	5736	8749
198	5766	8722
199	5794	8691
200	5821	8659
201	5843	8620
202	5864	8580
203	5895	8554
204	5913	8509
205	5934	8470
206	5961	8437
207	5991	8411
208	6022	8385
