Feature,Importance
duration,32.32376797828222
contact_unknown,11.404024696171797
day,7.7513766769396835
poutcome_success,6.414454870449885
housing_yes,4.272584177712056
month_may,3.8683989277644337
month_jul,3.2021332351751686
pdays,3.071475590011299
age,2.708223572883193
month_aug,2.6175252226586054
month_nov,2.3929330559338986
balance,2.355517596788208
campaign,2.0926006008594116
month_feb,1.9613737093486383
month_jun,1.8805451732114602
month_jan,1.5547788895075225
month_mar,1.5495820358140506
month_oct,1.5302733661353225
poutcome_unknown,1.0739724793292167
previous,0.8251032431646141
job_blue-collar,0.8111996355063544
loan_yes,0.7782099766212852
month_sep,0.6751923626407493
education_tertiary,0.6574785481347568
marital_married,0.4478554673122187
marital_single,0.3280644965035095
default_yes,0.25592582856937607
contact_telephone,0.22948412069760157
month_dec,0.228616627011122
job_student,0.14973477037210264
poutcome_other,0.1279752344018438
job_technician,0.09804997156046169
job_housemaid,0.08853908383932832
job_self-employed,0.07910749952604511
job_management,0.06991664469256371
job_services,0.02809264084390654
education_unknown,0.027191585730003926
job_entrepreneur,0.020226024813072802
education_secondary,0.01909277563313058
job_retired,0.01159608795410694
job_unknown,0.009002405984038932
job_unemployed,0.008803113511716318
